City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Cidreira,BR,-30.1811,-50.2056,71.92,91,100,5.99,overcast clouds
170,Sohag,EG,26.557,31.6948,52.11,39,0,7.14,clear sky
171,Dicabisagan,PH,17.0818,122.4157,81.07,79,28,3.98,scattered clouds
172,Evensk,RU,61.95,159.2333,17.31,87,98,0.45,overcast clouds
173,Lillesand,NO,58.2488,8.3778,33.84,93,63,4.61,broken clouds
174,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,81,89,9.78,overcast clouds
175,Hermanus,ZA,-34.4187,19.2345,59.81,79,100,14.79,light rain
176,High Level,CA,58.5169,-117.136,19.71,75,100,6.91,overcast clouds
177,Algiers,DZ,36.7525,3.042,60.62,42,0,9.22,clear sky
178,Xai-Xai,MZ,-25.0519,33.6442,76.3,57,51,6.91,broken clouds
179,Chissamba,AO,-12.1667,17.3333,61.65,93,91,3.6,overcast clouds
180,Mayo,US,38.8876,-76.5119,52.18,96,100,8.05,fog
181,Berberati,CF,4.2612,15.7922,69.91,86,38,1.48,scattered clouds
182,Pacific Grove,US,36.6177,-121.9166,71.24,85,40,9.22,scattered clouds
183,Fiumicino,IT,41.7675,12.2291,52.02,55,0,5.3,clear sky
184,Shirvan,AZ,39.9509,48.8994,40.86,81,100,9.28,overcast clouds
185,Tilichiki,RU,60.4667,166.1,14.29,84,73,2.73,broken clouds
186,Gobabis,NA,-22.45,18.9667,61.72,85,94,8.19,light rain
187,Necochea,AR,-38.5473,-58.7368,60.87,88,79,4.94,moderate rain
188,Upernavik,GL,72.7868,-56.1549,6.26,73,100,8.79,overcast clouds
189,Turayf,SA,31.6725,38.6637,40.53,81,2,12.37,clear sky
190,Plettenberg Bay,ZA,-34.0527,23.3716,62.55,89,59,10.92,moderate rain
191,Usinsk,RU,65.9939,57.5281,4.57,91,98,12.73,overcast clouds
192,Pedasi,PA,7.5333,-80.0333,79.07,71,23,15.46,few clouds
193,Olinda,BR,-8.0089,-34.8553,79.81,75,100,7.27,overcast clouds
194,Faya,SA,18.3851,42.4509,52.32,24,3,2.44,clear sky
195,La Asuncion,VE,11.0333,-63.8628,76.55,85,3,19.84,clear sky
196,Tanete,ID,-3.9443,119.7848,80.6,78,100,0.45,overcast clouds
197,Ler,SS,8.3018,30.1418,85.06,13,9,10.22,clear sky
198,Itupiranga,BR,-5.1347,-49.3267,74.7,95,57,1.68,broken clouds
199,Camopi,GF,3.1655,-52.3158,72.37,99,100,2.35,overcast clouds
200,Dawlatabad,AF,36.4141,64.9053,47.05,69,1,5.44,clear sky
201,Nikolskoye,RU,59.7035,30.7861,38.71,100,100,3.0,overcast clouds
202,Trstena,SK,49.361,19.6125,40.77,77,0,7.0,clear sky
203,Kupang,ID,-10.1667,123.5833,80.58,84,94,0.54,overcast clouds
204,Castro,BR,-24.7911,-50.0119,64.38,97,40,4.83,light rain
205,Arraial Do Cabo,BR,-22.9661,-42.0278,76.69,81,0,24.2,clear sky
206,Padang,ID,-0.9492,100.3543,68.05,66,85,4.63,overcast clouds
207,Kahului,US,20.8947,-156.47,84.22,51,20,27.63,few clouds
208,Sulangan,PH,11.1373,123.7228,81.28,79,71,10.65,broken clouds
209,Te Anau,NZ,-45.4167,167.7167,61.52,52,7,1.25,clear sky
210,Ust-Kuyga,RU,70.0167,135.6,-4.49,99,99,5.03,overcast clouds
211,Gat,IL,31.61,34.7642,49.41,100,89,13.44,overcast clouds
212,Mercedes,AR,-34.6515,-59.4307,51.78,97,99,8.19,overcast clouds
213,Bandarbeyla,SO,9.4942,50.8122,76.19,76,24,6.38,few clouds
214,Mapiripan,CO,2.8892,-72.1256,80.24,66,81,3.8,broken clouds
215,Isangel,VU,-19.55,169.2667,82.35,71,38,13.6,scattered clouds
216,Codrington,AU,-38.2667,141.9667,65.91,55,45,7.36,scattered clouds
217,Elizabeth City,US,36.2946,-76.2511,69.82,93,100,12.66,overcast clouds
218,Oranjestad,AW,12.524,-70.027,80.55,74,20,20.71,few clouds
219,Mount Isa,AU,-20.7333,139.5,87.57,29,45,8.05,scattered clouds
220,Kosino,RU,58.4127,51.2782,34.05,97,95,11.99,light snow
221,Marawi,PH,7.9986,124.2928,72.86,81,100,0.92,overcast clouds
222,Yulara,AU,-25.2406,130.9889,78.64,38,0,20.71,clear sky
223,Octeville,FR,49.6261,-1.6435,50.49,62,0,9.22,clear sky
224,Nguruka,TZ,-5.1092,31.0419,62.56,95,72,1.23,light rain
225,Ada,US,43.4166,-116.1262,65.01,32,0,6.91,clear sky
226,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,87,98,22.03,overcast clouds
227,Nome,US,64.5011,-165.4064,21.27,63,0,13.8,clear sky
228,Kalmunai,LK,7.4167,81.8167,77.4,86,8,5.39,clear sky
229,Pitimbu,BR,-7.4706,-34.8086,79.66,80,99,8.03,overcast clouds
230,Bowen,AU,-20.0167,148.2333,78.49,64,74,9.37,broken clouds
231,Karratha,AU,-20.7377,116.8463,86.09,63,51,1.7,broken clouds
232,Richards Bay,ZA,-28.783,32.0377,73.4,84,68,8.46,broken clouds
233,Kloulklubed,PW,7.0419,134.2556,81.32,76,100,11.41,overcast clouds
234,Port Alberni,CA,49.2413,-124.8028,52.88,65,100,7.0,overcast clouds
235,Tsumeb,NA,-19.2333,17.7167,62.96,84,88,3.8,overcast clouds
236,Zhezkazgan,KZ,47.8043,67.7144,21.22,99,75,2.42,broken clouds
237,Lompoc,US,34.6391,-120.4579,82.02,68,0,12.66,clear sky
238,Umm Kaddadah,SD,13.6017,26.6876,67.21,16,74,17.83,broken clouds
239,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,25,9.04,scattered clouds
240,Kruisfontein,ZA,-34.0033,24.7314,61.88,86,44,11.88,moderate rain
241,Guerrero Negro,MX,27.9769,-114.0611,76.48,23,13,14.34,few clouds
242,Tahta,EG,26.7693,31.5021,53.01,37,0,9.84,clear sky
243,Ulladulla,AU,-35.35,150.4667,65.77,83,88,3.31,light rain
244,Vardo,NO,70.3705,31.1107,29.03,66,100,36.44,overcast clouds
245,Cherskiy,RU,68.75,161.3,11.82,91,100,7.81,overcast clouds
246,Willowmore,ZA,-33.2926,23.4895,59.81,72,31,5.61,scattered clouds
247,Burnie,AU,-41.0667,145.9167,66.94,61,11,5.88,few clouds
248,Pinawa,CA,50.1489,-95.8811,38.26,84,100,10.09,overcast clouds
249,Victor Harbor,AU,-35.5667,138.6167,64.99,71,23,9.4,few clouds
250,Jalingo,NG,8.8833,11.3667,82.81,17,82,5.12,broken clouds
251,Kuragino,RU,53.8975,92.6725,21.61,95,100,5.95,snow
252,Batagay,RU,67.6333,134.6333,3.49,87,95,3.04,overcast clouds
253,Kapoeta,SS,4.7717,33.5903,79.14,58,99,15.28,overcast clouds
254,Victoria,HK,22.2855,114.1577,70.97,94,99,15.99,overcast clouds
255,New Norfolk,AU,-42.7826,147.0587,69.71,52,61,1.99,broken clouds
256,Tecoanapa,MX,16.5167,-98.75,81.36,58,22,7.05,few clouds
257,Leshukonskoye,RU,64.8989,45.7622,16.27,81,8,8.95,clear sky
258,Cap Malheureux,MU,-19.9842,57.6142,76.46,87,18,1.01,few clouds
259,Turbat,PK,26.0023,63.044,79.72,13,0,6.85,clear sky
260,Miles City,US,46.4083,-105.8406,49.17,40,20,29.93,few clouds
261,Gamba,GA,-2.65,10.0,78.75,93,98,5.86,light rain
262,Luau,AO,-10.7073,22.2247,64.49,90,53,0.94,broken clouds
263,Broome,US,42.2506,-75.833,47.39,79,20,10.36,few clouds
264,Tiksi,RU,71.6872,128.8694,-7.22,96,84,1.43,broken clouds
265,Azle,US,32.8951,-97.5459,66.54,60,0,9.22,clear sky
266,Jiaocheng,CN,24.6774,116.1389,61.81,99,100,2.51,overcast clouds
267,Jumla,NP,29.2747,82.1838,41.05,53,8,5.12,clear sky
268,Fuling,CN,29.7022,107.3919,59.54,92,100,2.75,overcast clouds
269,Bilibino,RU,68.0546,166.4372,18.82,91,100,1.9,light snow
270,Saint-Francois,FR,46.4154,3.9054,38.68,87,0,0.0,clear sky
271,Pryozerne,UA,45.2698,36.3303,40.82,91,97,7.78,overcast clouds
272,Porto Santo,PT,33.072,-16.3415,61.18,77,40,14.97,scattered clouds
273,Varkaus,FI,62.3153,27.873,33.31,94,85,8.14,light snow
274,Pandan,PH,14.0453,124.1694,82.24,79,23,11.21,few clouds
275,Lichinga,MZ,-13.3128,35.2406,61.2,97,67,2.26,broken clouds
276,Montauban,FR,44.0833,1.5,45.14,56,46,7.72,scattered clouds
277,La Paz,BO,-16.5,-68.15,49.98,76,75,2.3,broken clouds
278,Havre,FR,49.5833,0.3333,50.4,53,0,9.22,clear sky
279,Koutiala,ML,12.3917,-5.4642,91.6,26,88,8.63,overcast clouds
280,Manaus,BR,-3.1019,-60.025,76.59,93,82,3.53,broken clouds
281,Berdigestyakh,RU,62.0989,126.6992,13.32,97,96,1.45,overcast clouds
282,Porto Novo,BJ,6.4965,2.6036,82.49,80,93,9.71,overcast clouds
283,Otane,NZ,-39.8833,176.6333,62.01,95,100,15.39,overcast clouds
284,Turinsk,RU,58.0458,63.696,31.87,82,100,15.17,overcast clouds
285,Dingli,MT,35.8614,14.3822,49.82,71,0,5.75,clear sky
286,Vao,NC,-22.6667,167.4833,77.45,65,100,13.09,overcast clouds
287,Kysyl-Syr,RU,63.8986,122.7617,7.86,98,100,2.21,overcast clouds
288,Solnechnyy,RU,50.7214,136.6319,27.57,90,89,3.36,overcast clouds
289,Mareeba,AU,-17.0,145.4333,80.65,77,100,3.44,overcast clouds
290,Clyde River,CA,70.4692,-68.5914,-2.47,91,100,17.69,overcast clouds
291,Bealanana,MG,-14.55,48.7333,64.26,99,92,1.9,overcast clouds
292,Taoudenni,ML,22.6783,-3.9836,76.33,23,0,12.88,clear sky
293,Jiuquan,CN,39.7432,98.5174,34.5,51,100,3.18,overcast clouds
294,Palwal,IN,28.15,77.3333,71.46,21,0,5.82,clear sky
295,Parkes,AU,-33.1333,148.1833,71.64,48,46,5.99,scattered clouds
296,Port Hardy,CA,50.6996,-127.4199,47.82,60,100,11.88,overcast clouds
297,Shaoxing,CN,30.011,120.5715,60.75,95,100,8.14,moderate rain
298,Kristiinankaupunki,FI,62.2743,21.376,30.72,99,96,1.92,overcast clouds
