City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,San Patricio,US,2022-03-24 22:21:32,28.017,-97.5169,81.07,13,0,13.98
120,Amuntai,ID,2022-03-24 22:25:36,-2.4177,115.2494,73.47,91,84,1.36
121,Asyut,EG,2022-03-24 22:25:36,27.181,31.1837,53.55,37,0,7.9
122,Nelson Bay,AU,2022-03-24 22:25:37,-32.7167,152.15,73.99,96,99,1.01
123,Pangnirtung,CA,2022-03-24 22:17:30,66.1451,-65.7125,15.8,79,100,17.27
124,Dunedin,NZ,2022-03-24 22:25:38,-45.8742,170.5036,57.29,68,12,0.36
125,Miyako,JP,2022-03-24 22:25:38,39.6367,141.9525,38.32,81,17,3.8
126,Assiniboia,CA,2022-03-24 22:22:40,49.6334,-105.9845,37.22,65,100,28.77
127,Saint-Philippe,RE,2022-03-24 22:21:26,-21.3585,55.7679,74.79,83,40,9.51
128,Fairbanks,US,2022-03-24 22:15:32,64.8378,-147.7164,32.0,39,0,11.5
129,Berlevag,NO,2022-03-24 22:25:39,70.8578,29.0864,28.35,80,40,35.68
130,Esperance,AU,2022-03-24 22:25:39,-33.8667,121.9,55.24,83,0,12.3
131,Tuktoyaktuk,CA,2022-03-24 22:16:22,69.4541,-133.0374,-11.2,70,20,12.66
132,Hilo,US,2022-03-24 22:21:22,19.7297,-155.09,80.33,68,0,12.66
133,Raga,SS,2022-03-24 22:16:19,8.4596,25.678,82.2,29,34,4.05
134,Nakonde,ZM,2022-03-24 22:25:40,-9.3421,32.745,58.59,93,66,1.9
135,Juba,SS,2022-03-24 22:25:41,4.8517,31.5825,82.36,42,55,6.13
136,Mahebourg,MU,2022-03-24 22:25:41,-20.4081,57.7,79.09,89,40,6.91
137,Maniitsoq,GL,2022-03-24 22:21:30,65.4167,-52.9,15.46,72,100,6.49
138,Port Alfred,ZA,2022-03-24 22:16:17,-33.5906,26.891,67.71,84,47,15.5
139,Malakal,SS,2022-03-24 22:26:42,9.5334,31.6605,87.15,12,5,10.36
140,Meulaboh,ID,2022-03-24 22:26:42,4.1363,96.1285,76.59,90,17,3.89
141,Tingi,TZ,2022-03-24 22:26:43,-11.3,35.0333,63.72,94,41,2.26
142,Rawlins,US,2022-03-24 22:23:38,41.7911,-107.2387,57.34,33,20,20.71
143,Sitka,US,2022-03-24 22:26:43,57.0531,-135.33,46.29,61,100,11.5
144,Ambovombe,MG,2022-03-24 22:26:44,-25.1667,46.0833,73.98,88,3,3.15
145,Bambous Virieux,MU,2022-03-24 22:26:44,-20.3428,57.7575,79.05,89,40,6.91
146,Leningradskiy,RU,2022-03-24 22:19:06,69.3833,178.4167,-9.8,100,100,6.98
147,Marsh Harbour,BS,2022-03-24 22:26:45,26.5412,-77.0636,77.05,79,6,19.26
148,Ruteng,ID,2022-03-24 22:26:45,-8.6136,120.4721,61.84,89,78,0.96
149,Norman Wells,CA,2022-03-24 22:21:37,65.282,-126.8329,5.04,56,75,9.22
150,Serenje,ZM,2022-03-24 22:26:46,-13.2325,30.2352,62.74,97,98,3.11
151,Ouadda,CF,2022-03-24 22:26:46,8.0777,22.4007,73.76,57,44,2.53
152,Kapaa,US,2022-03-24 22:26:47,22.0752,-159.319,80.58,78,75,16.11
153,Puerto Baquerizo Moreno,EC,2022-03-24 22:26:47,-0.9,-89.6,83.39,70,75,9.22
154,Dikson,RU,2022-03-24 22:26:47,73.5069,80.5464,9.27,91,93,15.84
155,Yulara,AU,2022-03-24 22:23:14,-25.2406,130.9889,69.64,60,0,6.91
