City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Navolato,MX,85.64,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
389,Tuy Hoa,VN,78.64,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
393,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
395,Marilia,BR,74.64,light rain,-22.2139,-49.9458,Hotel Tenda
398,Mazatlan,MX,73.9,clear sky,23.2167,-106.4167,Hotel La Siesta
400,Jaque,PA,79.18,light rain,7.5175,-78.1703,Aventuras Jaque S.A
401,Inongo,CD,74.25,clear sky,-1.95,18.2667,Hotel Du Lac
410,Atascadero,US,88.84,few clouds,35.4894,-120.6707,Holiday Inn Express Hotel & Suites Atascadero
411,Kankan,GN,82.74,light rain,10.3854,-9.3057,Hotel Bate
413,Nogales,MX,80.17,clear sky,31.3086,-110.9422,Siesta Motel
416,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
419,Andros Town,BS,78.76,few clouds,24.7,-77.7667,Hanks place
421,Palu,ID,79.34,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
432,Punta Gorda,US,75.0,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
433,Auki,SB,84.85,overcast clouds,-8.7676,160.7034,Auki Motel
434,Rehti,IN,80.24,few clouds,22.7333,77.4333,Hotel Dhakad
435,Kuching,MY,77.22,thunderstorm,1.55,110.3333,Hilton Kuching
436,Trinidad,BO,76.19,scattered clouds,-14.8333,-64.9,Hotel Piesta
439,Geraldton,AU,80.51,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
440,Balabac,PH,83.66,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
448,Acajutla,SV,83.53,scattered clouds,13.5928,-89.8275,Laureles
453,Entre Rios,BR,71.89,clear sky,-11.9419,-38.0844,Pousada Porteira
455,Terra Santa,BR,75.99,broken clouds,-2.1042,-56.4869,Hotel Sarah
459,Correntina,BR,75.47,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
461,Mana,GF,76.71,overcast clouds,5.6592,-53.7767,LE SAMANA
467,Kharakvasla,IN,74.34,broken clouds,18.4333,73.7667,Savali Resort
478,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
480,Davila,PH,83.05,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
483,Tevaitoa,PF,81.84,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
484,Kaduqli,SD,76.42,few clouds,11.0167,29.7167,Nussyba
486,Pontes E Lacerda,BR,75.0,broken clouds,-15.2261,-59.3353,Hotel Bressan
487,Morrope,PE,73.56,few clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
489,San Jose,US,78.53,scattered clouds,37.3394,-121.895,The Westin San Jose
490,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
491,Alice Springs,AU,76.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
492,Valdez,EC,79.0,moderate rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
493,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
494,Laguna,US,84.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
496,Guaratinga,BR,70.93,clear sky,-16.5667,-39.5667,Hotel Caraíva
503,Emerald,AU,82.35,scattered clouds,-23.5333,148.1667,The Irish Village
506,Luwuk,ID,81.82,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
509,Kaeo,NZ,74.32,broken clouds,-35.1,173.7833,Bushido Lodge
510,Ukiah,US,84.09,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
512,Tabou,CI,79.43,clear sky,4.423,-7.3528,hotêl doufoulougou
514,Tautira,PF,80.73,light rain,-17.7333,-149.15,Pension Oaoa
516,San-Pedro,CI,78.82,clear sky,4.7485,-6.6363,Hotel Maria
522,Baracoa,CU,76.68,clear sky,20.3467,-74.4958,Hostal Rio Miel
523,Hualmay,PE,70.57,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
525,Mitsamiouli,KM,82.35,broken clouds,-11.3847,43.2844,Foyer ADM
526,Arlit,NE,77.77,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
527,Silva Jardim,BR,72.59,clear sky,-22.6508,-42.3917,Pousada Ipuca
529,Hobyo,SO,80.29,few clouds,5.3505,48.5268,Iftin hotel hobyo
530,Tela,HN,84.15,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
531,Cabedelo,BR,78.91,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
533,Dig,IN,73.38,few clouds,27.4667,77.3333,JAI PALACE MARRIAGE HOME & GUEST HOUSE DEEG
538,Manavalakurichi,IN,79.32,scattered clouds,8.1333,77.3,Jebinrio home
539,Vila Velha,BR,77.45,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
544,Porto Walter,BR,75.34,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
551,Dhidhdhoo,MV,82.51,scattered clouds,6.8833,73.1,Dhidhoo beach
554,Cozumel,MX,80.94,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
559,Kerrville,US,75.94,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
561,Capao Da Canoa,BR,72.46,overcast clouds,-29.7456,-50.0097,Hotel Araçá
564,Sorong,ID,79.3,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
565,Hervey Bay,AU,81.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
570,Wajir,KE,81.54,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
572,Lethem,GY,80.74,light rain,3.3803,-59.7968,Savannah Inn
576,Ladario,BR,80.2,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
579,Linhares,BR,72.16,scattered clouds,-19.3911,-40.0722,Hotel Conceição
581,San Pedro,PH,86.32,clear sky,14.35,121.0167,Esquivel's Garden And Resort
582,Bonthe,SL,77.47,few clouds,7.5264,-12.505,Bonthe Holiday Village
584,Carauari,BR,75.02,overcast clouds,-4.8828,-66.8958,Hotel Fellip
588,Acarau,BR,76.96,broken clouds,-2.8856,-40.12,castelo pizzaria
589,Half Moon Bay,US,73.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
590,Rancho Santa Margarita,US,88.11,few clouds,33.6409,-117.6031,Ayres Suites Mission Viejo
591,Mayumba,GA,78.96,overcast clouds,-3.432,10.6554,LIKWALE LODGE
592,Benemerito De Las Americas,MX,70.74,overcast clouds,16.5167,-90.6439,Hotel Fontera Sur
594,Palimbang,PH,81.86,light rain,6.2106,124.1894,Felmar Beach resort
595,Voh,NC,80.74,broken clouds,-20.9667,164.7,Le gîte du Koniambo
597,Wamba,NG,81.99,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
603,Basi,IN,77.34,clear sky,26.8333,76.0333,Aloriya Farm House
604,Yurimaguas,PE,78.94,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
606,Sibolga,ID,74.19,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
607,Sokoto,NG,80.91,clear sky,13.0609,5.239,Grand Ibro Hotel
611,Axim,GH,80.35,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
613,Brownfield,US,73.38,clear sky,33.1812,-102.2744,"Holiday Inn Express & Suites Brownfield, an IHG Hotel"
618,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
619,Amahai,ID,82.56,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
620,Corrales,US,71.64,clear sky,35.2378,-106.6067,Quality Inn
621,Puerto Maldonado,PE,74.52,overcast clouds,-12.6,-69.1833,Wasai Hotel
623,San Patricio,US,78.75,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
625,Ellisras,ZA,74.1,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
626,Namatanai,PG,85.62,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
630,Koraput,IN,70.97,few clouds,18.8167,82.7167,Raj Residency
634,Maceio,BR,79.18,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
638,Bontang,ID,79.74,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
643,San Rafael Del Sur,NI,85.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
652,Pailon,BO,77.9,overcast clouds,-17.65,-62.75,Alojamiento pailon
658,San Ramon,US,80.65,clear sky,37.7799,-121.978,San Ramon Marriott
660,Akyab,MM,74.07,scattered clouds,20.15,92.9,Hotel Memory
667,Cururupu,BR,74.21,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
669,Bogande,BF,88.43,few clouds,12.9714,-0.1436,Auberge Wendkouni
